0 [0.00e+00, 0.00e+00]
100 [-2.80e-02, -4.84e-02]
200 [-3.10e-02, -7.30e-03]
300 [-3.97e-02, -3.04e-03]
400 [-2.35e-02, -2.22e-03]
500 [3.53e-02, -1.22e-03]
600 [1.65e-01, 1.08e-03]
700 [3.81e-01, 5.57e-03]
800 [6.28e-01, 1.12e-02]
900 [7.99e-01, 1.55e-02]
1000 [8.57e-01, 1.73e-02]
1100 [8.78e-01, 1.85e-02]
1200 [8.89e-01, 2.04e-02]
1300 [9.11e-01, 2.03e-02]
1400 [9.23e-01, 2.07e-02]
1500 [9.29e-01, 2.05e-02]
1600 [9.32e-01, 2.05e-02]
1700 [9.32e-01, 2.06e-02]
1800 [9.31e-01, 2.06e-02]
1900 [9.20e-01, 2.02e-02]
2000 [9.30e-01, 2.07e-02]
2100 [9.27e-01, 2.01e-02]
2200 [9.20e-01, 1.92e-02]
2300 [9.10e-01, 1.83e-02]
2400 [9.21e-01, 1.93e-02]
2500 [9.22e-01, 1.87e-02]
2600 [9.17e-01, 1.81e-02]
2700 [9.16e-01, 1.75e-02]
2800 [9.17e-01, 1.74e-02]
2900 [9.15e-01, 1.70e-02]
3000 [9.16e-01, 1.68e-02]
3100 [9.19e-01, 1.67e-02]
3200 [9.17e-01, 1.66e-02]
3300 [9.19e-01, 1.66e-02]
3400 [9.22e-01, 1.66e-02]
3500 [9.19e-01, 1.63e-02]
3600 [9.22e-01, 1.64e-02]
3700 [9.22e-01, 1.64e-02]
3800 [9.23e-01, 1.61e-02]
3900 [9.22e-01, 1.59e-02]
4000 [9.17e-01, 1.56e-02]
4100 [9.11e-01, 1.58e-02]
4200 [9.07e-01, 1.60e-02]
4300 [9.06e-01, 1.52e-02]
4400 [9.09e-01, 1.52e-02]
4500 [9.10e-01, 1.50e-02]
4600 [9.16e-01, 1.50e-02]
4700 [9.19e-01, 1.50e-02]
4800 [9.25e-01, 1.51e-02]
4900 [9.29e-01, 1.49e-02]
5000 [9.33e-01, 1.49e-02]
5100 [9.36e-01, 1.47e-02]
5200 [9.38e-01, 1.46e-02]
5300 [9.41e-01, 1.45e-02]
5400 [9.43e-01, 1.43e-02]
5500 [9.45e-01, 1.42e-02]
5600 [9.47e-01, 1.42e-02]
5700 [9.49e-01, 1.41e-02]
5800 [9.51e-01, 1.41e-02]
5900 [9.52e-01, 1.40e-02]
6000 [9.54e-01, 1.41e-02]
6100 [9.55e-01, 1.41e-02]
6200 [9.56e-01, 1.40e-02]
6300 [9.58e-01, 1.43e-02]
6400 [9.60e-01, 1.42e-02]
6500 [9.61e-01, 1.41e-02]
6600 [9.63e-01, 1.40e-02]
6700 [9.64e-01, 1.40e-02]
6800 [9.65e-01, 1.39e-02]
6900 [9.66e-01, 1.40e-02]
7000 [9.67e-01, 1.39e-02]
7100 [9.67e-01, 1.38e-02]
7200 [9.69e-01, 1.38e-02]
7300 [9.70e-01, 1.39e-02]
7400 [9.71e-01, 1.38e-02]
7500 [9.72e-01, 1.38e-02]
7600 [9.73e-01, 1.37e-02]
7700 [9.73e-01, 1.37e-02]
7800 [9.73e-01, 1.36e-02]
7900 [9.75e-01, 1.36e-02]
8000 [9.75e-01, 1.36e-02]
8100 [9.76e-01, 1.35e-02]
8200 [9.76e-01, 1.33e-02]
8300 [9.77e-01, 1.34e-02]
8400 [9.77e-01, 1.32e-02]
8500 [9.78e-01, 1.32e-02]
8600 [9.78e-01, 1.32e-02]
8700 [9.79e-01, 1.31e-02]
8800 [9.80e-01, 1.30e-02]
8900 [9.80e-01, 1.29e-02]
9000 [9.81e-01, 1.29e-02]
9100 [9.81e-01, 1.29e-02]
9200 [9.81e-01, 1.28e-02]
9300 [9.81e-01, 1.26e-02]
9400 [9.82e-01, 1.27e-02]
9500 [9.83e-01, 1.27e-02]
9600 [9.82e-01, 1.25e-02]
9700 [9.83e-01, 1.26e-02]
9800 [9.84e-01, 1.25e-02]
9900 [9.84e-01, 1.25e-02]
10000 [9.84e-01, 1.24e-02]
10000 [9.84e-01, 1.24e-02]
10100 [9.89e-01, 1.19e-02]
10200 [9.89e-01, 1.19e-02]
10300 [9.90e-01, 1.16e-02]
10400 [9.92e-01, 1.17e-02]
10500 [9.92e-01, 1.15e-02]
10600 [9.94e-01, 1.13e-02]
10700 [9.94e-01, 1.12e-02]
10800 [9.94e-01, 1.13e-02]
10900 [9.95e-01, 1.13e-02]
11000 [9.95e-01, 1.12e-02]
11100 [9.95e-01, 1.10e-02]
11200 [9.95e-01, 1.11e-02]
11300 [9.96e-01, 1.11e-02]
11400 [9.95e-01, 1.11e-02]
11500 [9.96e-01, 1.11e-02]
11600 [9.97e-01, 1.10e-02]
11700 [9.97e-01, 1.11e-02]
11800 [9.97e-01, 1.12e-02]
11900 [9.98e-01, 1.12e-02]
12000 [9.97e-01, 1.11e-02]
12100 [9.97e-01, 1.12e-02]
12200 [9.97e-01, 1.12e-02]
12300 [9.97e-01, 1.12e-02]
12400 [9.97e-01, 1.12e-02]
12500 [9.98e-01, 1.12e-02]
12600 [9.97e-01, 1.11e-02]
12700 [9.97e-01, 1.11e-02]
12800 [9.98e-01, 1.12e-02]
12900 [9.98e-01, 1.12e-02]
13000 [9.98e-01, 1.11e-02]
13100 [9.98e-01, 1.11e-02]
13200 [9.98e-01, 1.10e-02]
13300 [9.98e-01, 1.10e-02]
13400 [9.98e-01, 1.10e-02]
13500 [9.98e-01, 1.10e-02]
13600 [9.99e-01, 1.10e-02]
13700 [9.99e-01, 1.10e-02]
13800 [9.99e-01, 1.10e-02]
13900 [9.99e-01, 1.10e-02]
14000 [9.99e-01, 1.10e-02]
14100 [9.99e-01, 1.10e-02]
14200 [9.99e-01, 1.10e-02]
14300 [9.99e-01, 1.10e-02]
14400 [9.99e-01, 1.09e-02]
14500 [9.99e-01, 1.09e-02]
14600 [9.99e-01, 1.09e-02]
14700 [9.99e-01, 1.09e-02]
14800 [9.99e-01, 1.09e-02]
14900 [9.99e-01, 1.09e-02]
15000 [9.99e-01, 1.09e-02]
15100 [9.99e-01, 1.08e-02]
15200 [9.99e-01, 1.09e-02]
